Varenummer;Beskrivelse;Salgspris;Kostpris;"Vejl. pris";Enhed;Nettovægt;Bruttovægt;"L x B x H";Stykliste;Varegruppe
300814;"BELLA Dusty modul 2 pers. sofa TPU";2.799,20;1.345,74;4.598,00;Sæt;0.000;0.000;;10474600(2.000);69
300489;"BELLA Dusty modul 2 x 2-pers.+1 sofastol+1 bord sæt TPU";7.839,20;3.873,17;13.494,00;Sæt;0.000;0.000;;"10474600(4.000); 10474800(1.000); 10476400(1.000)";69
300817;"BELLA Dusty modul 3 pers.+2 pers + 2 bord sofasæt TPU";8.799,20;4.084,88;14.793,00;Sæt;0.000;0.000;;"10474600(4.000); 10474700(1.000); 10474800(2.000)";69
300820;"BELLA Dusty modul 3 pers.+ 2 stole + bord sofasæt TPU";7.999,20;3.897,96;13.394,00;Sæt;0.000;0.000;;"10474600(2.000); 10474700(1.000); 10476400(2.000); 10474800(1.000)";69
300815;"BELLA Dusty modul 3 pers. sofa TPU";3.919,20;1.936,10;6.597,00;Sæt;0.000;0.000;;"10474600(2.000); 10474700(1.000)";69
300819;"BELLA Dusty modul Åbent sofasæt TPU";6.399,20;2.927,98;10.395,00;Sæt;0.000;0.000;;"10474600(2.000); 10474700(2.000); 10474800(1.000)";69
300816;"BELLA Dusty modul Chaiselong sofa TPU";4.799,20;2.337,62;8.396,00;Sæt;0.000;0.000;;"10474600(2.000); 10474700(1.000); 10474800(1.000)";69
300818;"BELLA Dusty modul Mega sofasæt TPU";9.599,20;4.592,73;16.492,00;Sæt;0.000;0.000;;"10474600(3.000); 10474700(3.000); 10474800(2.000)";69
300620;"BELLA PARIS HAVEMØBELSÆT";7.199,20;3.560,47;18.993,00;Sæt;0.000;0.000;;"62867400(1.000); 628973(6.000)";69
300478;"Bergen Fie sæt 80x80 / 2 stole Kerne Teak";1.599,20;757,82;3.397,00;Sæt;0.000;0.000;;"98281806(1.000); 98290306(2.000)";69
300481;"Bergen Fie sæt 90x90 / 4 stole Kerne Teak";2.399,20;1.155,65;5.695,00;Sæt;0.000;0.000;;"98285506(1.000); 98290306(4.000)";69
300916;"Bergen Gine sæt 100x100 m/ 4 stk. Gine Dusty lux stabelstole";2.479,20;1.141,02;5.895,00;Sæt;0.000;0.000;;"98281906(1.000); 16052(4.000)";69
300479;"Bergen Mie u/armlæn sæt 80x80 / 2 stole Kerne Teak";1.999,20;963,68;3.797,00;Sæt;0.000;0.000;;"98281806(1.000); 98280206(2.000)";69
300480;"Bergen Mie u/armlæn sæt 90x90 / 4 stole Kerne Teak";3.199,20;1.537,93;6.495,00;Sæt;0.000;0.000;;"98285506(1.000); 98280206(4.000)";69
300887;"Billy Sort modul  3 pers.+ 2 stole + bord sofasæt";6.799,20;3.285,87;11.694,00;Sæt;0.000;0.000;;"10475000(2.000); 10475100(1.000); 10475200(1.000); 10474900(2.000)";69
300881;"Billy Sort modul Åbent sofasæt";5.199,20;2.404,30;8.895,00;Sæt;0.000;0.000;;"10475000(2.000); 10475100(2.000); 10475200(1.000)";69
