Kontonr.,Kontonavn,Moms,Type
1000,RESULTATOPGØRELSE, ,Overskrift1
1001,Nettoomsætning,,Overskrift2
1009,Nettomsætning,,Overskrift3
1010,"Nettomsætning, Danmark",,Overskrift4
1011,Salg af varer/ydelser,U25,D
1012,Salg af varer/ydelser u/moms,,D
1013,Salg af fragt,U25,D
1014,Salg af fragt/ydelser u/moms,,D
1015,Salg af varer til tilknyttede virksomheder,U25,D
1016,Salg af varer til tilknyttede virksomheder u/moms,,D
1017,Salg af varer til associerede virksomheder,U25,D
1018,Salg af varer til associerede virksomheder u/moms,,D
1019,Provision,U25,D
1020,Provision u/moms,,D
1021,Kontantrabatter,U25,D
1022,Kontantrabatter u/moms,,D
1023,Andre rabatter,U25,D
1024,Andre rabatter u/moms,,D
1025,"Salg, brugtmoms",,D
1029,"Nettomsætning, Danmark",,SumFra4
1030,"Nettomsætning, udland",,Overskrift4
1031,Salg af varer til EU lande,UEUV,D
1032,Salg af ydelser til EU lande,UEUY,D
1033,Fjernsalg af varer til EU-land 1,UEUV2,D
1034,Fjernsalg af varer til EU-land 2,UEUV2,D
1035,Fjernsalg af varer til EU-land 3,UEUV2,D
1036,Fjernsalg af varer til EU-land 4,UEUV2,D
1037,Fjernsalg af varer til EU-land 5,UEUV2,D
1038,Salg af varer til 3. lande,UVC,D
1039,Salg af ydelser til 3. lande,UVC,D
1040,Salg af fragt,,D
1041,Provision eksport,,D
1042,Rabat eksport,,D
1043,Kontantrabat eksport,,D
1044,"Modkonto fragt, rabatter og provision",,D
1055,"Valutakursgevinster, eksport",,D
1056,"Valutakurstab, eksport",,D
1057,"Nettomsætning, udland i alt",,SumFra4
1058,Nettomsætning i alt,,SumFra3
1059,Nettomsætning 2,,Overskrift3
1060,"Nettomsætning 2, Danmark",,Overskrift4
1061,Salg af varer/ydelser,U25,D
1062,Salg af varer/ydelser u/moms,,D
1063,Salg af fragt,U25,D
1064,Salg af fragt/ydelser u/moms,,D
1065,Salg af varer til tilknyttede virksomheder,U25,D
1066,Salg af varer til tilknyttede virksomheder u/moms,,D
1067,Salg af varer til associerede virksomheder,U25,D
1068,Salg af varer til associerede virksomheder u/moms,,D
1069,Provision,U25,D
1070,Provision u/moms,,D
1071,Kontantrabatter,U25,D
1072,Kontantrabatter u/moms,,D
1073,Andre rabatter,U25,D
1074,Andre rabatter u/moms,,D
1079,"Nettomsætning 2, Danmark i alt",,SumFra4
1080,"Nettomsætning 2, udland",,Overskrift4
1081,Salg af varer til EU lande,UEUV,D
1082,Salg af ydelser til EU lande,UEUY,D
1083,Fjernsalg af varer til EU-land 1,UEUV2,D
1084,Fjernsalg af varer til EU-land 2,UEUV2,D
1085,Fjernsalg af varer til EU-land 3,UEUV2,D
1086,Fjernsalg af varer til EU-land 4,UEUV2,D
1087,Fjernsalg af varer til EU-land 5,UEUV2,D
1088,Salg af varer til 3. lande,UVC,D
1089,Salg af ydelser til 3. lande,UVC,D
1090,Salg af fragt,,D
1091,Provision eksport,,D
1092,Rabat eksport,,D
1093,Kontantrabat eksport,,D
1094,"Modkonto fragt, rabatter og provision",,D
1105,"Valutakursgevinster, eksport",,D
1106,"Valutakurstab, eksport",,D
1107,"Nettomsætning 2, udland i alt",,SumFra4
1108,Nettomsætning 2 i alt,,SumFra3
1109,Nettomsætning 3,,Overskrift3
1110,"Nettomsætning 3, Danmark",,Overskrift4
1111,Salg af varer/ydelser,U25,D
1112,Salg af varer/ydelser u/moms,,D
1113,Salg af fragt,U25,D
1114,Salg af fragt/ydelser u/moms,,D
1115,Salg af varer til tilknyttede virksomheder,U25,D
1116,Salg af varer til tilknyttede virksomheder u/moms,,D
1117,Salg af varer til associerede virksomheder,U25,D
1118,Salg af varer til associerede virksomheder u/moms,,D
1119,Provision,U25,D
1120,Provision u/moms,,D
1121,Kontantrabatter,U25,D
1122,Kontantrabatter u/moms,,D
1123,Andre rabatter,U25,D
1124,Andre rabatter u/moms,,D
1129,"Nettomsætning 3, Danmark i alt",,SumFra4
1130,"Nettomsætning 3, udland",,Overskrift4
1131,Salg af varer til EU lande,UEUV,D
1132,Salg af ydelser til EU lande,UEUY,D
1133,Fjernsalg af varer til EU-land 1,UEUV2,D
1134,Fjernsalg af varer til EU-land 2,UEUV2,D
1135,Fjernsalg af varer til EU-land 3,UEUV2,D
1136,Fjernsalg af varer til EU-land 4,UEUV2,D
1137,Fjernsalg af varer til EU-land 5,UEUV2,D
1138,Salg af varer til 3. lande,UVC,D
