Kontonr.,Kontonavn,Moms,Type
999,RESULTATOPGØRELSE,,Overskrift
1000,Salg af varer/ydelser m/moms,U25,D
1050,Salg af varer/ydelser u/moms,,D
1100,EU-leverancer varer - Indberettes (rubrik B-varer),UEUV,D
1150,EU-leverancer varer - Indberettes ikke (rubrik B-varer),UVC,D
1200,EU-leverancer ydelser (rubrik B-ydelser),UEUY,D
1250,Momsfrit salg til udlandet (rubrik C),UVC,D
1300,Salg af fragt - momsfrie,,D
1350,Salg af fragt - momspligtig,U25,D
1355,Periodisering indtægter,,D
1360,Besætningsforskydning,,D
1400,"Rykkergebyrer, administrationsgebyr mv.",,D
1445,"Valutakursdifferencer, eksport",,D
2000,Vareforbrug,I25,D
2050,EU-erhvervelser varer (rubrik A-varer),IEUV,D
2100,EU-erhvervelser ydelser (rubrik A-ydelser),IEUY,D
2150,Varekøb verden,IVV,D
2180,Fremmed arbejde m/moms,I25,D
2181,"Fremmed arbejde, EU",IEUY,D
2182,"Fremmed arbejde, 3. lande",IVY,D
2200,Ydelseskøb verden,IVY,D
2250,Fragt med moms,I25,D
2300,Fragt uden moms,,D
2350,Fragt - EU,IEUV,D
2351,Fragt - 3. lande,IVY,D
2355,Forbrug af egne varer,I25,D
2400,"Valutakursdifferencer, import",,D
2410,"Valutakursdifferencer, udgift",,D
2450,Varelagerregulering,,D
2460,Nedskrivning besætning primo,,D
2461,Nedskrivning besætning ultimo,,D
2800,Fremmed arbejde,I25,D
2801,Fremmed arbejde U/moms,,D
2810,Direkte omkostninger m/moms,I25,D
2811,Direkte omkostninger u/moms,,D
2820,Fragt m/moms,I25,D
2821,Fragt u/moms,,D
2830,Direkte omkostninger varer u/moms indenfor EU,IEUV,D
2831,Direkte omkostninger ydelser u/moms indenfor EU,IEUY,D
2832,Direkte omkostninger varer u/moms 3. lande,IVV,D
2833,Direkte omkostninger ydelser u/moms 3. lande,IVY,D
2834,"Lønninger, afsluttede projekter (projekt)",,D
2835,"Omkostninger, afsluttede projekter (projekt)",,D
2836,Told mv.,,D
2840,Forbrug af egne varer,I25,D
3000,AM-indkomst,,D
3020,Arbejdsgiver ATP,,D
3040,Medarbejder ATP,,D
3060,Sygepenge mv.,,D
3070,"Personalegoder, herunder fri telefon",,D
3080,B-honorar,,D
3090,Barsel,,D
3100,Feriepenge og SH,,D
3119,Vendekonto løn,,D
3120,Pension,,D
3140,Diæter/rejsegodtgørelse,,D
3160,Kørsel i egen bil (kilometergodtgørelse),,D
3180,AER/AES/ATP-finansieringsbidrag,,D
3200,Arbejdstøj,I25,D
3220,Personaleforsikringer,,D
3240,"Mad under kursus/møder mv., fuldt fradrag",I25,D
3260,"Gaver til personalet, fuldt fradrag",,D
3280,Uddannelsesudgifter,I25,D
3281,Kurser o.a. uddannelsesudgifter u/moms,,D
3300,Diverse vedr. ansatte med moms,I25,D
3320,Diverse vedr. ansatte uden moms,,D
3340,Regulering feriepenge,,D
3341,Lønrefusioner,,D
3355,Bespisning uden momsfradrag,,D
4000,Annoncer og reklame,I25,D
4001,"Internetannoncer, sociale medier mv. EU",IEUY,D
4002,"Internetannoncer, sociale medier mv. udland",IVY,D
4020,Udsmykning i forbindelse med arrangementer/events,I25,D
4040,"Hotel, personale, fuldt fradrag",HREP,D
4060,"Hotel, forretningsforbindelser, delvis fradrag",I25,D
4080,Konferencer,,D
4100,Messer,I25,D
4120,"Restaurant, personale, fuldt fradrag",REP,D
4140,"Repræsentation, restaurant, forretningsforbindelser, delvis fradrag",REP,D
4142,Rejseomkostninger i udlandet,,D
4144,Anden bespisning mv. på rejse i DK,,D
