Kontonr.,Kontonavn,Moms,Type
1000,RESULTATOPGØRELSE,,Overskrift
1010,Salg af varer/ydelser m/moms,U25,D
1020,Salg af varer til udland,UEUV,D
1021,Salg af ydelser til udland,UEUY,D
1025,Salg af varer til EU,UVC,D
1026,Salg af ydelser til EU,UVC,D
1030,Salg til kunder u/moms,,D
1049,Periodisering indtægter,,D
1050,Regulering igangværende arbejder,,D
1068,Besætningsforskydning,,D
1302,Nedskrivning besætning primo,,D
1303,Nedskrivning besætning ultimo,,D
1305,Fremmed arbejde m/moms,I25,D
1306,Direkte omkostninger ydelser u/moms indenfor EU,IEUY,D
1307,Direkte omkostninger ydelser u/moms 3. lande,IVY,D
1308,Fremmed arbejde u/moms,,D
1310,Direkte omkostninger m/moms,I25,D
1312,Direkte omkostninger u/moms,,D
1315,Fragt m/moms,I25,D
1316,Fragt u/moms,,D
1317,Fragt o.a. hjemtagelsesomkostninger EU,IEUV,D
1318,Fragt o.a. hjemtagelsesomkostninger udlandet,IVV,D
1320,Direkte omkostninger varer u/moms indenfor EU,IEUV,D
1321,Direkte omkostninger ydelser u/moms indenfor EU,IEUY,D
1324,Direkte omkostninger varer u/moms 3. lande,IVV,D
1325,Direkte omkostninger ydelser u/moms 3. lande,IVY,D
1326,"Lønninger, afsluttede projekter (projekt)",,D
1327,"Omkostninger, afsluttede projekter (projekt)",,D
1328,Forbrug af egne varer,I25,D
1329,Direkte omkostninger varer/ydelser u/moms,,D
1330,Vareforbrug (lagermodul),,D
1331,Told mv.,,D
2210,Lønninger,,D
2211,Feriepenge & SH,,D
2212,Sygedagpenge mv.,,D
2213,B-honorar,,D
2214,Personalegoder og multimedier,,D
2215,"Pensioner, arbejdsgiver",,D
2219,Vendekonto løn,,D
2222,AER (Samlet betaling),,D
2223,ATP,,D
2224,DA-barsel,,D
2230,KM-penge,,D
2241,Personaleudgifter,,D
2242,Projektførte lønninger (projekt),,D
2250,Bespisning under kursus/faglige møder mv. i virksomhedens lokaler,I25,D
2251,"Personalearrangementer mv., restaurant, Danmak",REP,D
2252,Anden bespisning (ikke faglige møder i virksomhedens lokaler),,D
2253,Arbejdstøj,I25,D
2254,Gaver mv. til personale,,D
2255,Kurser o.a. uddannelsesudgifter m/moms,I25,D
2256,Kurser o.a. uddannelsesudgifter u/moms,,D
2280,"Feriepengeforpligtelse, reg.",,D
2290,Lønrefusioner,,D
2750,Restaurationsbesøg (forretningsmøder),REP,D
2751,"Forretningsmøder i virksomhedens lokaler, Danmark",I25,D
2753,"Bespisning, øvrige lande (forretningsmøder)",,D
2754,Gaver og blomster,,D
2755,Modkonto ej fradrag for repræsentationsomkostninger,,D
2760,"Restaurationsbesøg under rejser, Danmark",REP,D
2761,Bespisning i øvrigt (ej restauration) under rejser i Danmark,,D
2762,Diæter (kost og ophold),,D
2769,"Bespisning under rejser, øvrige lande",,D
2770,Rejseudgifter,,D
2771,"Hotelophold, Danmark",HREP,D
2772,"Hotelophold, Finland, 10% moms (manuel afløftning)",,D
2773,"Hotelophold, øvrige (ingen momsfradrag)",,D
2775,"Transport, Finland, 10% moms (manuel afløftning)",,D
2776,Transport i øvrigt (ingen momsfradrag),,D
2800,Annoncer og reklame,I25,D
2801,"Internetannoncer, sociale medier mv. EU",IEUY,D
2802,"Internetannoncer, sociale medier mv. udland",IVY,D
2803,"Fragt, porto m/moms",I25,D
2804,"Fragt, porto u/moms",,D
2805,"Fragt, porto mv. EU",IEUY,D
2806,"Fragt, porto mv. 3. lande",IVY,D
2850,Kørselsgodtgørelse,,D
3100,Autodrift - personbiler,,D
3110,Brændstof,,D
3120,Bilforsikring,,D
3130,Vægtafgift,,D
3131,Broafgift og færge,,D
3140,Reparation/vedligeholdelse,,D
3141,"Øvrige driftsomkostninger, hvidpladebil",,D
3142,"Brændstof, papegøje- og gulpladebiler",I25,D
3143,"Bilforsikring, papegøje- og gulpladebiler",,D
3144,"Vægtafgift, papegøje- og gulpladebiler",,D
3145,"Reparation/vedligeholdelse, papegøje- og gulpladebiler",I25,D
3146,Broafgift og færge,I25,D
3148,"Øvrige driftsomkostninger m. moms, papegøje- og gulpladebiler",I25,D
3149,"Øvrige driftsomkostninger u. moms, papegøje- og gulpladebiler",,D
3150,Fradrag erhvervsmæssig kørsel efter statens takster,,D
3151,Fri bil / privat andel biludgifter,,D
3160,Parkering,,D
3161,Parkering,I25,D
3162,"Broafgift m/moms, hvidpladebiler (Øresund)",I25,D
3410,Husleje m/moms,I25,D
3411,Husleje u/moms,,D
3420,"El, vand og gas",I25,D
3421,Refunderet vandafgift,,D
3422,Refunderet elafgift,,D
3430,Vedligeholdelse og rengøring,I25,D
3435,Reparation og vedligeholdelse,I25,D
3431,Lokaleomkostninger u/moms,,D
3440,Fradrag for arbejdsværelse,,D
3441,Fradrag for lagerlokale eget hjem,I25,D
3450,Forsikringer (lokale),,D
3600,Kontorartikler og tryksager,I25,D
3601,Avishold,,D
3602,Kontorartikler og tryksager mv. u/momsfradrag,,D
3604,Edb-udgifter / software,I25,D
3605,"Småanskaffelser, edb",I25,D
3606,"Edb-udgifter / software, EU (reverse charge)",IEUY,D
3607,"Edb-udgifter / software, 3. lande  (reverse charge)",IVY,D
3608,"Edb-udgifter / software, uden momsfradrag",,D
3610,Rep./vedligeholdelse af inventar,I25,D
3617,Mindre anskaffelser,I25,D
3618,"Mindre anskaffelser, omvendt betalingspligt",OBPK,D
3620,Telefon,I25,D
3621,Internetforbindelse,I25,D
3622,Beskatning af fri telefoni,,D
3623,Telefon u. moms,,D
3624,Internetforbindelse u. moms,,D
3626,Bankgebyrer,,D
3627,Offentlige gebyrer m/skattemæssigt  fradrag,,D
3628,Porto og gebyrer,,D
3629,Gebyrer skat u/skattemæssigt fradrag,,D
3630,"Inkasso, debitorer",I25,D
3640,Revisor / regnskabsassistance,I25,D
3641,Regulering skyldig revisor / regnskabsassistance,,D
3645,Advokat,I25,D
3646,Øvrig konsulentbistand,I25,D
3650,Forsikringer,,D
3651,Øvrige sikringsudgifter,,D
3652,Øvrige sikringsudgifter,,D
3659,Kontingent vedrørende virksomhed og fradrag for syge- og arbejdsskadeforsikringer,,D
3660,Faglitteratur m/moms,I25,D
3661,Faglitteratur u/moms,,D
3662,Kontingenter m/moms,I25,D
3663,Kontingenter u/moms,,D
3664,Web-hotel og domænenavne,I25,D
3670,Leje/leasing af driftsmidler,I25,D
3720,Tab på debitorer,,D
3725,"Regulering af hensættelse til imødegåelse af tab, fordringer (lagerprincip)",,D
3768,Øvrige eksterne omkostninger m/moms,I25,D
3769,Øvrige eksterne omkostninger u/moms,,D
3770,Kassedifferencer mv.,,D
3771,Modkonto ej fradragsberettigede omkostninger,,D
3781,Stiftelsesomkostninger,I25,D
3782,Stiftelsesomkostninger,I25,D
3780,Ej fradragsberettigede omkostninger,,D
3910,"Afskrivning, indretning lejede lokaler",,D
3940,"Afskrivning, driftsmidler og inventar",,D
3941,"Afskrivning, blandet benyttet bil",,D
3950,"Afskrivning, edb",,D
4310,"Renteindtægt, bank",,D
4360,"Renteindtægt, debitorer",,D
4365,"Rykkergebyr, debitorer",,D
4370,"Udlodninger fra investeringsselskaber og obligationsbaserede investeringsbeviser (indeholdt udbytteskat)
",,D
4380,"Valutakursdifference, debitorer gevinst",,D
4381,"Valutakursdifference, kreditorer gevinst",,D
4410,"Renteudgift, bank",,D
4411,"Renteudgift, bank2",,D
4450,Låneomkostninger,,D
4460,"Renteudgift, kreditorer",,D
4461,Rykkergebyrer,,D
4465,"Renteudgift, Told & Skat",,D
4475,"Renteomkostninger, SKAT, uden fradrag",,D
4476,"Renteomkostninger, SKAT, med fradrag",,D
4477,Øvrige renteomkostninger,,D
4480,"Valutakursdifference, debitorer tab",,D
4481,"Valutakursdifference, kreditorer tab",,D
4482,Modkonto renter uden fradrag,,D
4610,Ekstraordinære indtægter m/moms,U25,D
4620,Ekstraordinære indtægter u/moms,,D
4630,Ekstraordinære udgifter m/moms,I25,D
4640,Ekstraordinære udgifter u/moms,,D
4670,Avance ved salg anlægsaktiver,,D
4671,Tab ved salg anlægsaktiver,,D
4899,RESULTAT ,,SUM
5000,AKTIVER,,Overskrift
5001,"Goodwill, primo",,A
5002,"Goodwill, tilgang i året",I25,A
5003,"Goodwill, afgang i året",,A
5004,"Goodwill, årets afskrivninger",,A
5021,Immaterielle anlægsaktiver primo,,A
5022,"Immaterielle, tilgang i året",I25,A
5023,"Immaterielle, afgang i året",,A
5024,"Immaterielle, årets afskrivninger",,A
5091,Immaterielle anlægsaktiver primo,,A
5092,"Immaterielle, tilgang i året",I25,A
5094,"Immaterielle, afgang i året",,A
5097,"Immaterielle, årets afskrivninger",,A
5101,"Grunde og bygninger, anskaffelse primo",,A
5102,"Grunde og bygninger, årets tilgang",,A
5103,"Grunde og bygninger, årets afgang",,A
5106,"Grunde og bygninger, afskrivning primo",,A
5107,"Grunde og bygninger, årets afskrivninger",,A
5111,"Indretning, anskaffelse primo",,A
5112,"Indretning, årets tilgang",I25,A
5113,"Indretning, årets afgang",,A
5115,"Indretning, afskrivning primo",,A
5116,"Indretning, afskrivning tilgang",,A
5117,"Indretning, årets afskrivninger",,A
5161,"Blandet benyttede biler, anskaffelse primo",,A
5162,"Blandet benyttede biler, årets tilgang",I25,A
5163,"Blandet benyttede biler, årets afgang",,A
5166,"Blandet benyttede biler, afskrivning primo",,A
5167,"Blandet benyttede biler, årets afskrivninger",,A
5221,"Driftsmidler, anskaffelse primo",,A
5222,"Driftsmidler, årets tilgang",I25,A
5223,"Driftsmidler, årets afgang",,A
5226,"Driftsmidler, afskrivning primo",,A
5227,"Driftsmidler, årets afskrivninger",,A
5231,"Edb-anlæg, anskaffelse primo",,A
5232,"Edb-anlæg, årets tilgang",I25,A
5233,"Edb-anlæg, årets afgang",,A
5236,"Edb-anlæg, afskrivning primo",,A
5237,"Edb-anlæg, årets afskrivninger",,A
5312,Huslejedepositum m/moms,I25,A
5313,Huslejedepositum u/moms,,A
5322,Leasingdepositum,I25,A
5512,Kornbeholdning,,A
5514,Besætninger,,A
5515,Nedskrivning besætninger,,A
5516,Olie- og gasbeholdning,,A
5518,Gødning og kemikaliebeholdning,,A
5520,Varelager,,A
5600,Debitorer,,A
5605,Hensat til tab på debitorer,,A
5645,Tilgodehavende moms,,A
5650,Andre tilgodehavender,,A
5654,Igangværende arbejder - aktiviteter (projekt),,A
5655,Igangværende arbejder - omkostninger (projekt),,A
5660,Forudbetalte poster,,A
5665,Personaletilgodehavender,,A
5810,Kassebeholdning,,A
5820,Bankkonto,,A
