Order_ID,Card_Type
181977,Visa Debit
181978,MASTERCARD
181979,MASTERCARD
181980,Dankort
181981,Dankort
181982,Dankort
181983,Debit Mastercard
181984,Visa DEBIT
181986,Dankort
58687,Visa DEBIT
181987,Dankort
181988,Dankort
181989,Dankort
181985,Visa DEBIT
58688,Visa DEBIT
181990,Visa DEBIT
58689,Visa DEBIT
58691,Visa Debit
181992,Visa Debit
181991,Visa DEBIT
181993,Dankort
181994,Dankort
181995,Dankort
58692,Mastercard
181996,Dankort
58693,Visa
181997,Dankort
181998,Visa DEBIT
181999,MASTERCARD
182000,Visa Debit
182002,Visa DEBIT
182003,Dankort
182005,Dankort
182006,Dankort
182004,Dankort
182001,Dankort
182008,Dankort
182009,Dankort
182007,Dankort
182014,Dankort
181905,Visa DEBIT
182016,Visa DEBIT
182011,Dankort
182010,Visa DEBIT
182018,Visa DEBIT
182019,Dankort
182017,Dankort
182022,Dankort
182015,Dankort
182020,Visa Debit
182021,Dankort
182023,Dankort
182026,Dankort
182025,Dankort
182013,Dankort
182027,Visa DEBIT
182028,Dankort
182031,Dankort
182032,Dankort
182033,Dankort
182034,Dankort
182035,Dankort
182036,Visa DEBIT
182037,Dankort
182038,DEBIT MASTERCARD
182039,Dankort
182040,Debit Mastercard
182041,Visa DEBIT
182042,Debit Mastercard
182043,Visa DEBIT
182044,Visa DEBIT
182045,Dankort
182046,Visa Debit
182048,Visa Debit
182049,Visa Debit
182050,Dankort
182051,Dankort
182052,Dankort
182053,Visa DEBIT
182054,Visa DEBIT
182055,MASTERCARD
182056,Dankort
182057,Dankort
182058,Dankort
182059,Visa DEBIT
182060,Visa DEBIT
182061,Lunar Card
182062,MASTERCARD
182063,Visa DEBIT
182064,Dankort
182065,Dankort
182066,Visa DEBIT
182067,Dankort
182068,Dankort
182070,Visa DEBIT
182071,Debit Mastercard
182072,Dankort
182073,Dankort
182074,Lunar Card
182075,Dankort
182076,Visa DEBIT
182077,DEBIT MASTERCARD
261149,Dankort
58697,Visa
182079,Dankort
785,Debit Mastercard
58836,MASTERCARD
182080,Dankort
182081,DEBIT MASTERCARD
182082,DEBIT MASTERCARD
58838,Visa DEBIT
225298,Dankort
182083,Dankort
182084,Visa DEBIT
182085,Dankort
58841,Visa
58843,Visa
786,Visa DEBIT
58844,Visa DEBIT
787,Visa Debit
58845,Visa
182086,MASTERCARD
261151,Dankort
261152,Dankort
182087,Dankort
261153,Dankort
261154,Dankort
261155,Dankort
225674,Dankort
261156,Dankort
182089,MASTERCARD
789,Visa DEBIT
261157,Dankort
261158,Dankort
261159,Dankort
261160,Dankort
261161,Dankort
261162,Dankort
261163,Dankort
58848,Visa DEBIT
261164,Dankort
261165,Dankort
261166,Dankort
58849,Visa Debit
58850,Visa DEBIT
261168,Dankort
261169,Dankort
182090,Dankort
261170,Dankort
182091,Visa DEBIT
261167,Dankort
261171,Dankort
261172,Dankort
261173,Dankort
58852,Visa
261174,Dankort
182094,Nordea Pay
261175,Dankort
261176,Dankort
58853,Visa
182095,Dankort
182096,MASTERCARD
58854,Debit Mastercard
58855,Visa DEBIT
182097,Dankort
182098,Dankort
261177,Dankort
182099,Visa DEBIT
182100,Visa Debit
182101,Visa DEBIT
182103,MASTERCARD
182104,Debit Mastercard
182105,VISA
182107,Visa DEBIT
182108,Dankort
182109,Visa DEBIT
182110,Visa DEBIT
182111,Dankort
182113,Dankort
182114,Dankort
182115,Visa Debit
182102,Visa DEBIT
182117,Debit Mastercard
182106,Dankort
182119,MASTERCARD
182112,Dankort
58856,DEBIT MASTERCARD
58857,Visa DEBIT
182125,MASTERCARD
182118,Dankort
58858,Visa
182024,Dankort
182126,Visa DEBIT
58860,Visa
182122,Debit Mastercard
182124,Dankort
182130,Dankort
182127,Dankort
182128,Dankort
182131,Dankort
182132,Dankort
182116,Visa DEBIT
182129,Dankort
182135,Visa Debit
182136,MASTERCARD
182137,Dankort
182138,Dankort
182121,Visa DEBIT
182134,Dankort
182133,DEBIT MASTERCARD
792,Visa DEBIT
182140,Dankort
182123,Dankort
182139,DEBIT MASTERCARD
182144,Dankort
182142,Dankort
182145,MASTERCARD
182141,Dankort
182143,Visa DEBIT
182147,Visa DEBIT
182148,Dankort
182149,Dankort
182151,Dankort
182153,Dankort
182154,Debit Mastercard
182156,Dankort
182157,Dankort
182158,Dankort
182159,Dankort
182160,Dankort
182161,Visa Debit
182162,Dankort
182163,Dankort
182164,Dankort
182165,Dankort
182166,Dankort
182167,Dankort
182168,Dankort
182169,MASTERCARD
182170,Visa DEBIT
182171,Visa DEBIT
182172,Visa DEBIT
182173,Visa Debit
182174,Dankort
182175,MASTERCARD
182176,Dankort
182177,Mastercard
182178,Visa DEBIT
182179,Debit Mastercard
182180,Dankort
182181,Visa Debit
182182,Dankort
182183,Visa DEBIT
182184,Visa Debit
182185,Visa Debit
182186,Dankort
182187,Visa DEBIT
182188,Dankort
182189,Dankort
182190,Dankort
182191,Dankort
182192,MASTERCARD
182193,MASTERCARD
182194,Visa DEBIT
182195,Visa DEBIT
182196,Dankort
182197,MASTERCARD
182198,Visa DEBIT
261178,Dankort
261179,Dankort
182199,Dankort
182200,Dankort
182201,Nordea Debit
182202,Lunar Card
182203,Visa DEBIT
182204,Dankort
182205,MASTERCARD
182206,Dankort
182207,Dankort
182208,Dankort
58864,Debit Mastercard
182209,Visa DEBIT
182210,Dankort
182211,Dankort
182212,Dankort
793,Visa DEBIT
182213,DEBIT MASTERCARD
182214,DEBIT MASTERCARD
182215,Dankort
58865,Visa DEBIT
58866,Visa
58867,Visa DEBIT
182217,Visa DEBIT
182218,MASTERCARD
182219,Visa DEBIT
182220,Dankort
182221,Visa Debit
182222,Visa DEBIT
182223,Dankort
58869,Visa
182152,Visa DEBIT
182225,Visa DEBIT
182226,Dankort
58871,Visa DEBIT
182227,Dankort
58872,Visa DEBIT
182228,Visa Debit
182229,Visa DEBIT
58873,Visa
182224,Dankort
182230,Dankort
58874,Visa Debit
182231,Dankort
182232,Debit Mastercard
58875,Visa DEBIT
58876,Visa DEBIT
182233,Dankort
182234,Visa DEBIT
182235,Dankort
182236,Dankort
182237,Visa DEBIT
182239,Dankort
58878,Visa DEBIT
182242,Dankort
182243,Dankort
182244,Visa Debit
182246,Visa DEBIT
182240,Visa Debit
182248,Dankort
182241,Visa DEBIT
182250,Visa DEBIT
182238,MASTERCARD
182245,Dankort
58881,Visa DEBIT
182253,Dankort
182255,MASTERCARD
182216,Visa DEBIT
182252,Dankort
182256,Visa DEBIT
182251,Dankort
182257,Dankort
182258,Dankort
182247,Dankort
182254,Dankort
182259,Dankort
182262,Dankort
182263,Dankort
182264,MASTERCARD
182265,Dankort
182249,Dankort
182267,Dankort
182269,Visa DEBIT
182261,Dankort
182270,Visa DEBIT
182271,Dankort
182274,Visa DEBIT
182275,Visa Debit
182260,Dankort
182276,Visa Debit
182268,Dankort
182273,Visa DEBIT
182279,Dankort
182281,Visa DEBIT
182282,Dankort
182283,Dankort
182284,Dankort
182278,Mastercard
182286,Dankort
182266,Dankort
182277,Dankort
182287,Dankort
182291,Visa DEBIT
182293,Visa DEBIT
182288,Visa DEBIT
182294,Visa DEBIT
182292,DEBIT MASTERCARD
182295,Dankort
182296,Dankort
182297,Dankort
182298,Dankort
182299,Visa DEBIT
182300,VISA DEBIT
182301,Visa DEBIT
182302,Nordea Pay
182303,Visa DEBIT
182304,Visa Debit
182306,Dankort
182307,VISA
182308,Dankort
182309,Dankort
182310,Visa DEBIT
182311,Nordea Pay
182312,Visa Debit
182313,Dankort
182314,Visa DEBIT
182315,Dankort
182316,Dankort
182317,Dankort
182318,Visa DEBIT
182319,Mastercard
182320,Dankort
182321,MASTERCARD
182322,MASTERCARD
182323,Visa DEBIT
182324,Dankort
182326,Dankort
182327,Dankort
182328,Visa DEBIT
182329,Visa DEBIT
182330,Dankort
182331,Dankort
182332,Dankort
182333,Visa DEBIT
182334,Visa DEBIT
182335,Dankort
182336,DEBIT MASTERCARD
182337,Visa Debit
182338,Visa DEBIT
182339,Visa DEBIT
182340,DEBIT MASTERCARD
182341,Dankort
182342,Dankort
182344,Debit Mastercard
182345,Dankort
182346,Dankort
182347,Dankort
182348,Dankort
182349,Visa DEBIT
58883,Visa Debit
58884,Visa Debit
58885,Visa
182350,Debit Mastercard
182351,Dankort
182352,Dankort
58886,Visa
795,Debit Mastercard
182353,Dankort
58888,Visa DEBIT
58889,Visa DEBIT
182354,Dankort
182355,Visa DEBIT
182356,Visa DEBIT
58890,Visa
182357,MASTERCARD
58891,Visa DEBIT
182358,Visa DEBIT
58892,Visa DEBIT
182359,Visa DEBIT
182360,Visa Debit
182361,Visa Debit
58893,Visa DEBIT
182362,DEBIT MASTERCARD
182363,Visa DEBIT
58894,Mastercard
182364,MASTERCARD
796,Dankort
58895,Visa
182365,Nordea Pay
182366,Nordea Pay
58897,Visa DEBIT
58898,Visa Debit
58899,Visa DEBIT
182368,Visa Debit
58900,Visa DEBIT
182370,Mastercard
182371,Dankort
182372,Visa Debit
182373,Dankort
182374,MASTERCARD
182375,Visa Debit
182376,Visa DEBIT
