id,beskrivelse,kode,kodenr_delete,art,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,kodenr,fiscal_year
148,Ordrelistevisning,faktura,13,OLV,198032,../index/menu.php,"ordrenr,kundeordnr,ordredate,fakturanr,fakturadate,kundeordnr,kontonr,firmanavn,ref,sum_m_moms",",100,100,100,100,100,150,100,100,100","right,left,left,right,left,left,left,left,left,right","Ordrenr.,Internet,Ordredato,Fakt.nr.,Fakt.dato,Internet,Kontonr.,Firmanavn,Sælger,Fakturasum",100,ordrenr desc,"





28722218


",",,,,,,,,on,,",,,,,13,0
578,debitorlistevisning,debitor,,DLV,,,kontonr	firmanavn	addr1	addr2	postnr	bynavn	kontakt	tlf,5	35	10	10	10	10	10	10,right	left	left	left	left	left	left	left	left,Kontonr	Firmanavn	Adresse	Adresse 2	Postnr	By	Kontakt	Telefon,100,,,,,,,,61,0
770,Fragt uden moms, ,,VG,,,15228,15228,,,on,,,,15228,,15228,,18,7
447,Ordrelistevisning,faktura,45,OLV,249884,../index/menu.php,"ordrenr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum","50,100,100,100,100,150,100,100,100","right,left,right,left,left,left,left,left,right","Ordrenr.,Ordredato,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,S&aelig;lger,Fakturasum",100,ordrenr desc,"

170592





",",,,,,,,on,,",,,,,45,0
771,Told, ,,VG,,,15227,15227,,,on,,,,15227,,15227,,19,7
585,debitorlistevisning,debitor,,DLV,,,kontonr	firmanavn	addr1	addr2	postnr	bynavn	kontakt	tlf,5	35	10	10	10	10	10	10,right	left	left	left	left	left	left	left	left,Kontonr	Firmanavn	Adresse	Adresse 2	Postnr	By	Kontakt	Telefon,100,,,,,,,,44,0
228,Ordrelistevisning,faktura,21,OLV,"253273,253170,253163",../index/menu.php,"ordrenr,kundeordnr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum_m_moms",",50,100,100,100,100,150,100,100,100","right,left,left,right,left,left,left,left,left,right","Ordrenr.,Internet,Ordredato,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,Sælger,Fakturasum",20,ordrenr desc,"





40618102


",",,,,,,,,on,,",,,,,21,0
2,Div_valg,,2,DIV,,,,on,,,on,,,,,,,,2,0
945,debitorlistevisning,debitor,,DLV,,,kontonr	firmanavn	addr1	addr2	postnr	bynavn	kontakt	tlf,5	35	10	10	10	10	10	10,right	left	left	left	left	left	left	left	left,Kontonr	Firmanavn	Adresse	Adresse 2	Postnr	By	Kontakt	Telefon,100,,,,,,,,89,0
777,kreditorlistevisning,kreditor,,KLV,,,kontonr	firmanavn	addr1	addr2	postnr	bynavn	kontakt	tlf	kontoansvarlig,5	35	10	10	10	10	10	10	10,right	left	left	left	left	left	left	left	left,Kontonr	Firmanavn	Adresse	Adresse 2	Postnr	By	Kontakt	Telefon,100,,,"







",,,,,65,0
485,debitorlistevisning,debitor,43,DLV,,,kontonr	firmanavn	addr1	addr2	postnr	bynavn	kontakt	tlf,5	35	10	10	10	10	10	10,right	left	left	left	left	left	left	left	left,Kontonr	Firmanavn	Adresse	Adresse 2	Postnr	By	Kontakt	Telefon,100,,,"51258089






",,,,,43,0
920,kreditorlistevisning,kreditor,,KLV,,,kontonr	firmanavn	addr1	addr2	postnr	bynavn	kontakt	tlf	kontoansvarlig,5	35	10	10	10	10	10	10	10,right	left	left	left	left	left	left	left	left,Kontonr	Firmanavn	Adresse	Adresse 2	Postnr	By	Kontakt	Telefon,100,,,"







",,,,,83,0
902,debitorlistevisning,kommission,,DLV,,,kontonr	firmanavn	addr1	addr2	postnr	bynavn	kontakt	tlf	invoiced,5	35	10	10	10	10	10	10	10,right	left	left	left	left	left	left	left	left,Kontonr	Firmanavn	Adresse	Adresse 2	Postnr	By	Kontakt	Telefon	Sidste faktura,100,,,,,,,,-1,0
259,Ordrelistevisning,faktura,26,OLV,,../index/menu.php,"ordrenr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum,",",100,100,100,100,150,100,100,100,50","right,left,right,left,left,left,left,left,right,","Ordrenr.,Ordredato,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,Sælger,Fakturasum,",100,ordrenr desc,"




26493809



",",,,,,,,on,,,",,,,,26,0
531,debitorlistevisning,debitor,36,DLV,,,kontonr	firmanavn	addr1	addr2	postnr	bynavn	kontakt	tlf,5	35	10	10	10	10	10	10,right	left	left	left	left	left	left	left	left,Kontonr	Firmanavn	Adresse	Adresse 2	Postnr	By	Kontakt	Telefon,100,,,"40504085






",,,,,36,0
831,2024/2025,,,RA,10,2024,09,2025,on,65347,2025-06-11,19:58:37,,,,,,,8,0
780,ordrelistevisning,ordrer,,OLV,,../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordre nr..,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr desc,"144670





",",,,,,on,,",,,,,70,0
456,Ordrelistevisning,ordrer,48,OLV,"180785,180784,180731,180728,180711,180685,180684,180667,180666,180657,180617,180601,180594,180583,180569,180565,180543,180531,180513,180501,180482,180478,180437,180324,180317,180282,180280,180279,180249,180238,180237,180236,180231,180227,180207,180171,180170,180169,180168,180160,180155,180136,180135,180129,180113,180098,180079,180026,180004,180003,179992,179991,179990,179969,179968,179966,179965,179946,179923,179902,179877,179874,179868,179855,179851,179850,179848,179837,179836,179825,179815,179810,179800,179797,179796,179795,179777,179768,179762,179748,179739,179741,179736,179716,179708,179691,179683,179663,179661,179644,179604,179600,179598,179597,179564,179559,179547,179545,179544",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,S&aelig;lger,Ordresum",100,ordrenr desc,"





",",,,,,on,,",,,,,48,0
133,Ordrelistevisning,faktura,15,OLV,,../kreditor/kreditorkort.php?id=14570,"ordrenr,betalings_id,ordredate,sum_m_moms,fakturanr,fakturadate",",100,100,100,100,100","right,left,left,right,right,left","Ordrenr.,ha,Ordredato,Fakturasum,Fakt.nr.,Fakt.dato",100,firmanavn,"
ha_16265



",",,,,,,",,,,,15,0
3,Div_valg,,3,DIV,on,3,on,on,;on,,18010,,on,16650,,,	,,3,0
