id,item_group_id,cost_of_goods_sold
14678,2,0.000 DKK
244,2,0.000 DKK
276,2,0.000 DKK
23209,2,0.000 DKK
286,2,0.000 DKK
21014,2,0.000 DKK
11004,2,0.000 DKK
126,2,0.000 DKK
24336,2,0.000 DKK
958,2,0.000 DKK
24015,2,0.000 DKK
2330,2,0.000 DKK
22183,2,0.000 DKK
384,2,0.000 DKK
25233,2,0.000 DKK
4043,2,0.000 DKK
23812,2,0.000 DKK
24127,2,0.000 DKK
1650,2,0.000 DKK
24184,2,0.000 DKK
12425,2,0.000 DKK
26196,2,0.000 DKK
24557,2,0.000 DKK
23246,2,0.000 DKK
25868,2,0.000 DKK
8737,2,0.000 DKK
24272,2,0.000 DKK
19514,2,0.000 DKK
17373,2,0.000 DKK
26318,2,0.000 DKK
21023,2,0.000 DKK
23411,2,0.000 DKK
19688,2,0.000 DKK
12871,2,0.000 DKK
106,2,0.000 DKK
2950,2,0.000 DKK
24856,2,0.000 DKK
12662,2,0.000 DKK
110,2,0.000 DKK
23934,2,0.000 DKK
24793,2,0.000 DKK
19971,2,0.000 DKK
8831,2,0.000 DKK
25521,2,0.000 DKK
4393,2,0.000 DKK
6097,2,0.000 DKK
25246,2,0.000 DKK
24553,2,0.000 DKK
17924,2,0.000 DKK
25249,2,0.000 DKK
12883,2,0.000 DKK
6664,2,0.000 DKK
20767,2,0.000 DKK
23470,2,0.000 DKK
14076,2,0.000 DKK
608,2,0.000 DKK
25311,2,0.000 DKK
12005,2,0.000 DKK
25053,2,0.000 DKK
26330,2,0.000 DKK
28055,2,0.000 DKK
25562,2,0.000 DKK
23941,2,0.000 DKK
20245,2,0.000 DKK
17951,2,0.000 DKK
25902,2,0.000 DKK
19370,2,0.000 DKK
20935,2,0.000 DKK
26331,2,0.000 DKK
17497,2,0.000 DKK
21805,2,0.000 DKK
13752,2,0.000 DKK
12920,2,0.000 DKK
26105,2,0.000 DKK
25401,2,0.000 DKK
17475,2,0.000 DKK
23264,2,0.000 DKK
1310,2,0.000 DKK
24726,2,0.000 DKK
24642,2,0.000 DKK
15644,2,0.000 DKK
21727,2,0.000 DKK
25709,2,0.000 DKK
8962,2,0.000 DKK
24639,2,0.000 DKK
23402,2,0.000 DKK
25742,2,0.000 DKK
10549,2,0.000 DKK
25054,2,0.000 DKK
4169,2,0.000 DKK
17501,2,0.000 DKK
17499,2,0.000 DKK
25710,2,0.000 DKK
13822,2,0.000 DKK
11337,2,0.000 DKK
23456,2,0.000 DKK
25594,2,0.000 DKK
11648,2,0.000 DKK
2958,2,0.000 DKK
21156,2,0.000 DKK
20936,2,0.000 DKK
15253,2,0.000 DKK
25656,2,0.000 DKK
25250,2,0.000 DKK
21806,2,0.000 DKK
17959,2,0.000 DKK
14090,2,0.000 DKK
10786,2,0.000 DKK
26109,2,0.000 DKK
17516,2,0.000 DKK
21093,2,0.000 DKK
23306,2,0.000 DKK
21062,2,0.000 DKK
11344,2,0.000 DKK
21764,2,0.000 DKK
22636,2,0.000 DKK
21282,2,0.000 DKK
24731,2,0.000 DKK
22222,2,0.000 DKK
14089,2,0.000 DKK
10841,2,0.000 DKK
25402,2,0.000 DKK
23712,2,0.000 DKK
26366,2,0.000 DKK
24515,2,0.000 DKK
4721,2,0.000 DKK
17879,2,0.000 DKK
2305,2,0.000 DKK
23732,2,0.000 DKK
6526,2,0.000 DKK
6528,2,0.000 DKK
24644,2,0.000 DKK
21770,2,0.000 DKK
25251,2,0.000 DKK
21616,2,0.000 DKK
21177,2,0.000 DKK
26332,2,0.000 DKK
21285,2,0.000 DKK
26333,2,0.000 DKK
23546,2,0.000 DKK
25908,2,0.000 DKK
25595,2,0.000 DKK
25954,2,0.000 DKK
25803,2,0.000 DKK
24730,2,0.000 DKK
25711,2,0.000 DKK
25955,2,0.000 DKK
23821,2,0.000 DKK
18010,2,0.000 DKK
4816,2,0.000 DKK
25034,2,0.000 DKK
V33101121141,2,0.000 DKK
14501,2,0.000 DKK
8503,2,0.000 DKK
25956,2,0.000 DKK
2985,2,0.000 DKK
10905,2,0.000 DKK
26111,2,0.000 DKK
23422,2,0.000 DKK
21294,2,0.000 DKK
25352,2,0.000 DKK
11418,2,0.000 DKK
25802,2,0.000 DKK
23679,2,0.000 DKK
9894,2,0.000 DKK
10945,2,0.000 DKK
24514,2,0.000 DKK
25712,2,0.000 DKK
23992,2,0.000 DKK
23576,2,0.000 DKK
24197,2,0.000 DKK
25596,2,0.000 DKK
20842,2,0.000 DKK
25973,2,0.000 DKK
10999,2,0.000 DKK
9853,2,0.000 DKK
25566,2,0.000 DKK
16043,2,0.000 DKK
21638,2,0.000 DKK
25056,2,0.000 DKK
6358,2,0.000 DKK
138,2,0.000 DKK
24198,2,0.000 DKK
23838,2,0.000 DKK
17952,2,0.000 DKK
25972,2,0.000 DKK
24861,2,0.000 DKK
24508,2,0.000 DKK
6351,2,0.000 DKK
26045,2,0.000 DKK
6344,2,0.000 DKK
21893,2,0.000 DKK
21043,2,0.000 DKK
6488,2,0.000 DKK
22185,2,0.000 DKK
25996,2,0.000 DKK
6525,2,0.000 DKK
22798,2,0.000 DKK
2456,2,0.000 DKK
11000,2,0.000 DKK
1979,2,0.000 DKK
24202,2,0.000 DKK
137,2,0.000 DKK
18012,2,0.000 DKK
24727,2,0.000 DKK
23582,2,0.000 DKK
22840,2,0.000 DKK
28577,2,0.000 DKK
28058,2,0.000 DKK
21755,2,0.000 DKK
4375,2,0.000 DKK
14133,2,0.000 DKK
18031,2,0.000 DKK
11310,2,0.000 DKK
23604,2,0.000 DKK
21842,2,0.000 DKK
2315,2,0.000 DKK
10299,2,0.000 DKK
11298,2,0.000 DKK
23742,2,0.000 DKK
24333,2,0.000 DKK
22198,2,0.000 DKK
23248,2,0.000 DKK
1852,2,0.000 DKK
7030,2,0.000 DKK
23873,2,0.000 DKK
26110,2,0.000 DKK
24510,2,0.000 DKK
23832,2,0.000 DKK
18033,2,0.000 DKK
6717,2,0.000 DKK
22752,2,0.000 DKK
10780,2,0.000 DKK
22529,2,0.000 DKK
2800,2,0.000 DKK
3484,2,0.000 DKK
25713,2,0.000 DKK
22748,2,0.000 DKK
25804,2,0.000 DKK
24373,2,0.000 DKK
11325,2,0.000 DKK
22371,2,0.000 DKK
4689,2,0.000 DKK
25598,2,0.000 DKK
24855,2,0.000 DKK
149,2,0.000 DKK
24729,2,0.000 DKK
28056,2,0.000 DKK
28573,2,0.000 DKK
21976,2,0.000 DKK
24144,2,0.000 DKK
4850,2,0.000 DKK
24142,2,0.000 DKK
4890,2,0.000 DKK
25600,2,0.000 DKK
24614,2,0.000 DKK
15119,2,0.000 DKK
25058,2,0.000 DKK
10794,2,0.000 DKK
15118,2,0.000 DKK
25714,2,0.000 DKK
4288,2,0.000 DKK
11408,2,0.000 DKK
18049,2,0.000 DKK
25806,2,0.000 DKK
15138,2,0.000 DKK
4961,2,0.000 DKK
4962,2,0.000 DKK
148,2,0.000 DKK
25405,2,0.000 DKK
24149,2,0.000 DKK
24922,2,0.000 DKK
23333,2,0.000 DKK
15414,2,0.000 DKK
24620,2,0.000 DKK
20890,2,0.000 DKK
21558,2,0.000 DKK
25599,2,0.000 DKK
4388,2,0.000 DKK
26382,2,0.000 DKK
4482,2,0.000 DKK
14616,2,0.000 DKK
25715,2,0.000 DKK
22386,2,0.000 DKK
19469,2,0.000 DKK
24138,2,0.000 DKK
10846,2,0.000 DKK
7120,2,0.000 DKK
18050,2,0.000 DKK
25059,2,0.000 DKK
24146,2,0.000 DKK
17194,2,0.000 DKK
15120,2,0.000 DKK
4414,2,0.000 DKK
1029,2,0.000 DKK
25404,2,0.000 DKK
15420,2,0.000 DKK
19386,2,0.000 DKK
6513,2,0.000 DKK
1087,2,0.000 DKK
21576,2,0.000 DKK
26112,2,0.000 DKK
6563,2,0.000 DKK
14362,2,0.000 DKK
20783,2,0.000 DKK
4569,2,0.000 DKK
22006,2,0.000 DKK
144,2,0.000 DKK
23944,2,0.000 DKK
8973,2,0.000 DKK
15144,2,0.000 DKK
1425,2,0.000 DKK
28059,2,0.000 DKK
23763,2,0.000 DKK
2571,2,0.000 DKK
24645,2,0.000 DKK
21645,2,0.000 DKK
23304,2,0.000 DKK
24205,2,0.000 DKK
4771,2,0.000 DKK
1248,2,0.000 DKK
26044,2,0.000 DKK
7391,2,0.000 DKK
6621,2,0.000 DKK
26113,2,0.000 DKK
5020,2,0.000 DKK
22505,2,0.000 DKK
25257,2,0.000 DKK
25403,2,0.000 DKK
145,2,0.000 DKK
25808,2,0.000 DKK
24863,2,0.000 DKK
23849,2,0.000 DKK
20810,2,0.000 DKK
23885,2,0.000 DKK
19249,2,0.000 DKK
dato17443,1,0.000 DKK
13873,2,0.000 DKK
22404,2,0.000 DKK
1560,2,0.000 DKK
4827,2,0.000 DKK
15122,2,0.000 DKK
4857,2,0.000 DKK
21952,2,0.000 DKK
21771,2,0.000 DKK
6780,2,0.000 DKK
25597,2,0.000 DKK
23846,2,0.000 DKK
5080,2,0.000 DKK
24866,2,0.000 DKK
6670,2,0.000 DKK
4803,2,0.000 DKK
23617,2,0.000 DKK
24402,2,0.000 DKK
2416,2,0.000 DKK
24853,2,0.000 DKK
10949,2,0.000 DKK
21726,2,0.000 DKK
22270,2,0.000 DKK
23315,2,0.000 DKK
22419,2,0.000 DKK
11592,2,0.000 DKK
23290,2,0.000 DKK
2483,2,0.000 DKK
2477,2,0.000 DKK
23122,2,0.000 DKK
22071,2,0.000 DKK
771,2,0.000 DKK
10993,2,0.000 DKK
