id	integer Auto Increment [nextval('ordrer_id_seq')]	
konto_id	integer 	
firmanavn	text 	
addr1	text 	
addr2	text 	
postnr	text 	
bynavn	text 	
land	text 	
kontakt	text 	
email	text 	
mail_fakt	character varying(2) 	
udskriv_til	character varying(10) 	
kundeordnr	text 	
lev_navn	text 	
lev_addr1	text 	
lev_addr2	text 	
lev_postnr	text 	
lev_bynavn	text 	
lev_kontakt	text 	
ean	text 	
institution	text 	
betalingsbet	text 	
betalingsdage	integer 	
kontonr	numeric(30,0) 	
cvrnr	text 	
art	character varying(2) 	
valuta	text 	
valutakurs	numeric(15,3) 	
sprog	text 	
projekt	text 	
ordredate	date 	
levdate	date 	
fakturadate	date 	
notes	text 	
ordrenr	integer 	
sum	numeric(15,3) 	
momssats	numeric(15,3) 	
status	integer 	
ref	text 	
fakturanr	text 	
modtagelse	integer 	
kred_ord_id	integer 	
lev_adr	text 	
kostpris	numeric(15,3) 	
moms	numeric(15,3) 	
hvem	text 	
tidspkt	text 	
betalt	character varying(12) 	
nextfakt	date 	
pbs	character varying(2) 	
mail	character varying(2) 	
mail_cc	text 	
mail_bcc	text 	
mail_subj	text 	
mail_text	text 	
felt_1	text 	
felt_2	text 	
felt_3	text 	
felt_4	text 	
felt_5	text 	
vis_lev_addr	character varying(2) 	
restordre	numeric(2,0) 	
betalings_id	text 	
sag_id	integer 	
tilbudnr	numeric(15,0) 	
datotid	text 	
nr	numeric(15,0) 	
returside	text 	
sagsnr	numeric(15,0) 	
dokument	text 	
procenttillag	numeric(15,3) 	
mail_bilag	character varying(2) 	
omvbet	character varying(2) 	
afd	integer 	
lager	integer 	
kontakt_tlf	text 	
copied	boolean 	
phone	character varying(15) 	
report_number	integer  [0]	
consignmentid	character varying(25) 	
shop_status	character varying(20) 	
shop_id	integer 	
scan_id	integer 	
due_date	date 	
settletime	numeric(15,0)  [0]	
digital_status	character varying(255) 	
gls_label	boolean  [false]	
fedex_label	boolean  [false]	
lev_land	character varying(25) 	
lev_email	character varying 
