"varenr";"stregkode";"varemærke";"beskrivelse";"kostpris";"salgspris";"vejl_pris";"notes";"enhed";"udgået";"gruppe";"min_lager";"max_lager";"lokation"
"002438";"5555555";"";"Møtrik holder reservehjul";575,00;1.200,00;0,00;"";"stk";"0";1;0,00;0,00;""
"002800";"";"Piaggio Ape";"Kugleleje, forhjul";3.267,00;5.026,00;0,00;"";"stk";"0";1;0,00;0,00;""
"0028005";"0028005";"";"Forhjulsleje APE";0,00;79,20;;"alt 62-01";"stk";"0";2;2,00;2,00;""
"003014";"";"Piaggio Ape";"Skive, baghjul";285,00;425,00;0,00;"";"stk";"0";2;0,00;0,00;""
"010000";"";"";"***UDGÅET***Fejlretning";340,00;895,00;0,00;"";"Time(r)";"1";1;0,00;0,00;""
"010001";"";"";"***UDGÅET***Fejlretning udenfor normal arbejdstid";370,00;1.275,00;0,00;"";"Time(r)";"1";1;0,00;0,00;""
"010002";"";"";"***UDGÅET***Udkaldstillæg udenfor normal arbejdstid";500,00;1.525,00;0,00;"";"Time(r)";"1";1;0,00;0,00;""
"010011";"";"";"Tekniker (normal arbejdstid) - Installatørpris";345,00;895,00;0,00;"";"Time(r)";"0";1;0,00;0,00;""
"010012";"";"";"Tekniker (udenfor normal arbejdstid) - Installatørpris";370,00;1.175,00;0,00;"";"Time(r)";"0";1;0,00;0,00;""
"010021";"";"";"Opstart & STI-PA (taleforstålighed) inkl. rapport";0,00;0,00;0,00;"";"stk";"0";1;0,00;0,00;""
"010022";"";"";"Service aftale & STI-PA / Db - Rapport udførelse på talevarsling";0,00;0,00;0,00;"";"stk";"0";1;0,00;0,00;""
"010910";"";"";"***UDGÅET***";0,00;0,00;0,00;"";"Time(r)";"1";1;0,00;0,00;""
"010920";"";"";"***UDGÅET***";0,00;0,00;0,00;"";"Time(r)";"1";1;0,00;0,00;""
"015001";"";"";"Motor pakdåse kit";74,60;127,20;;"";"sæt";"0";2;2,00;2,00;""
"015002";"";"";"Motor pakdåse kit";9.800,00;16.720,00;;"";"sæt";"0";2;2,00;2,00;""
"015100";"";"";"Motor pakdåse kit";88,80;151,20;;"";"sæt";"0";2;2,00;2,00;""
"015204";"";"";"Motor pakdåse kit";148,80;265,20;0,00;"";"sæt";"0";2;0,00;0,00;""
"015600";"111A054FK";"";"Forgaffelpakdåser 30-40-8/9";2.790,00;4.844,00;;"";"sæt";"0";2;2,00;2,00;""
"015618";"";"";"Forgaffelpakdåser 33-45-8/10";4.680,00;7.920,00;;"";"sæt";"0";2;2,00;2,00;""
"015655";"";"";"Forgaffelpakdåser 41-54-11";0,00;71,20;;"";"sæt";"0";2;2,00;2,00;""
"020010";"";"";"***UDGÅET***Kabelbinder 4,8x280 Sort";0,21;1,60;1,60;"";"stk";"1";2;0,00;0,00;""
"020011";"";"";"***UDGÅET***Kabelbinder Stand 200S 4,5x200 Sort";0,14;1,20;0,00;"";"stk";"1";2;0,00;0,00;""
"020040";"";"";"Radaflex Twin 2x10 mm rød/sort";31,20;62,00;0,00;"";"Meter";"0";2;0,00;0,00;""
"020050";"";"";"***UDGÅET***DIN-skinne 0,5 meter TS35/F6 med huller";10,63;45,00;0,00;"";"stk";"1";2;0,00;0,00;""
"020065";"";"Kabel HIGH-FLEX 10 mm2 Sort";"Kabel HIGH-FLEX 10 mm2 Sort";10,33;28,60;28,60;"";"Meter";"0";2;0,00;0,00;""
"020066";"";"Kabel HIGH-FLEX 10 mm2 Rød";"Kabel HIGH-FLEX 10 mm2 Rød";10,33;28,60;28,60;"";"Meter";"0";2;0,00;0,00;""
"020070";"";"";"Rørkabelsko 10mm2 M6 Euroserie";2,15;6,80;6,80;"";"stk";"0";2;0,00;0,00;""
"020071";"";"";"Rørkabelsko 16mm2 M6 Euroserie";3,10;9,30;9,30;"";"stk";"0";2;0,00;0,00;""
"020080";"";"";"Isoleret Gaffelkabelsko Blå, M4";0,44;2,25;0,00;"";"stk";"0";2;0,00;0,00;""
"020090";"";"";"Krympeflex TNUB 9,5 Sort 2:1 Æske 10 meter";54,00;210,00;0,00;"";"Meter";"0";2;0,00;0,00;""
"020091";"";"";"Krympeflex TNUB 6,4 Sort 2:1 Æske 10 meter";54,00;210,00;0,00;"";"Meter";"0";2;0,00;0,00;""
"020092";"";"";"Krympeflex TNLB 3/1 Sort 3:1 med lim Æske 5 meter";67,50;240,00;0,00;"";"Meter";"0";2;0,00;0,00;""
"020100";"";"";"Monteringsledning H07V2-K 2,5mm rød 90grader PVC";5,56;15,00;0,00;"Coferro varenummer: 06121083";"Meter";"0";2;0,00;0,00;""
"020101";"";"";"Monteringsledning H07V2-K 2,5mm sort 90grader PVC";5,56;15,00;0,00;"Coferro varenummer: 06121081";"Meter";"0";2;0,00;0,00;""
"020102";"";"";"Monteringsledning H07 Z-K HF 90 1x2,5mm  Gul/Grøn";5,56;15,00;0,00;"Lemvigh-Müller: varanr. 5732111220\r\nean.nr. 4011126029505";"Meter";"0";2;0,00;0,00;""
"020400";"";"";"Alu Rør 1x8x2000";26,00;136,00;0,00;"";"2 meter";"0";2;0,00;0,00;""
"050000";"";"";"Kørsel";340,00;800,00;0,00;"";"Time(r)";"0";2;0,00;0,00;""
"050001";"";"";"Kørsels Km";4,50;4,50;0,00;"";"Km";"0";2;0,00;0,00;""
"050010";"";"";"Broafgift";240,00;240,00;0,00;"";"stk";"0";2;0,00;0,00;""
"091302";"5010874512658";"";"CHAMPION Tændrør  N5C";1.438,00;2.396,00;;"";"";"0";2;2,00;2,00;""
"100050";"";"";"***UDGÅET***Panasonic Bly 12V 42Ah";634,00;2.092,20;0,00;"55% rabat\r\nBestillings nr. LC-X1242AP";"stk";"1";10;0,00;0,00;""
"100051";"";"";"***UDGÅET***Panasonic Bly 12V 65Ah";919,53;3.034,45;0,00;"55% rabat\r\nBestillings nr. LC-X1265P";"stk";"1";10;0,00;0,00;""
"100052";"";"";"***UDGÅET***Panasonic Bly 12v 7.2 Ah";102,94;333,00;0,00;"55% rabat\r\nBestillings nr. LC-R127R2P";"stk";"1";10;0,00;0,00;""
"100053";"";"";"***UDGÅET***Panasonic Bly 12V 100Ah";1.408,10;3.590,65;0,00;"55% rabat\r\nBestillings nr. LC-XB12100P";"stk";"1";10;0,00;0,00;""
"100100";"";"";"***UDGÅET***ES-DS-R-KIT6 Batteri resistor for M6 bolt";33,00;95,00;0,00;"";"stk";"1";10;0,00;0,00;""
"116112";"";"";"Fjeder";700,00;1.520,00;;"";"stk";"0";1;2,00;2,00;""
"200001";"";"";"VM-3240VA Controller (6z/240W)";6.828,77;23.900,70;0,00;"";"stk";"0";20;0,00;0,00;""
"200002";"";"";"VM-3240E Extension (6z/240W)";6.153,00;21.535,50;0,00;"";"stk";"0";20;0,00;0,00;""
"200003";"";"";"VM-3360VA Controller (6z/360W)";8.077,97;28.381,50;0,00;"";"stk";"0";20;0,00;0,00;""
"200004";"";"";"VM-3360E Extension (6z/360W)";7.161,00;25.063,50;0,00;"";"stk";"0";20;0,00;0,00;""
"200106";"";"";"ES-VP2241 Amplifier 1x240W";2.037,63;6.269,00;0,00;"";"stk";"0";20;0,00;0,00;""
"200107";"";"";"VP-2241 Backupforstærker 1x240W  (inkl.)";2.718,00;9.513,00;0,00;"";"stk";"0";20;0,00;0,00;""
"200108";"";"";"ES-VP2421 Amplifier 1x420w";3.449,72;10.336,00;0,00;"";"stk";"0";20;0,00;0,00;""
"200109";"";"";"VP-2421 Backupforstærker 1x420W (inkl.)";3.927,00;13.744,50;0,00;"";"stk";"0";20;0,00;0,00;""
"208-010";"4000002080105";"";"Blinkrelæ  7pin LED Suzuki";13.700,00;22.240,00;;"";"";"0";2;2,00;2,00;""
"210059";"087295120231";"";"NGK Tændrør  BPR7ES";1.757,00;3.120,00;;"";"";"0";2;2,00;2,00;""
"380-209";"4054783225538";"";"HIGHSIDER udendørs MC garage str XXL";0,00;59.840,00;;"";"stk";"0";2;2,00;2,00;""
"802010007";"";"";"Bazar pos. cushion - Lime green";8,00;25,00;;"";"";"0";1;2,00;2,00;""
"802010301";"";"";"Sailor seat cushion - 45x42 cm - Blue";3,00;19,00;0,00;"";"";"0";1;0,00;10,00;""
"802011802";"";"";"Bazar Deckchair cushion - Blue plaid";8,00;29,00;;"";"";"0";1;2,00;2,00;""
"802011805";"";"";"Bazar Deckchair cushion - Green plaid";8,00;29,00;;"";"";"0";1;2,00;2,00;""
"900003";"";"";"Fremstilling af lydbesked";1.000,00;1.845,00;0,00;"Hun tager for en time om det er 1 eller 10 beskeder";"stk";"0";90;0,00;0,00;""
"973";"4002325097327";"";"Karburartor/indsprøjtnings rens";0,00;11.840,00;;"";"stk";"0";2;2,00;2,00;""
"B1";"";"";"Basis 1 måned";0,00;149,00;0,00;"";"";"0";1;0,00;0,00;""
"B12";"";"";"basis 12 måneder";0,00;1.788,00;0,00;"";"";"0";1;0,00;0,00;""
"B3";"";"";"basis 3 måneder";0,00;447,00;0,00;"";"";"0";1;0,00;0,00;""
"B6";"";"";"basis 6 måneder";0,00;894,00;0,00;"";"";"0";1;0,00;0,00;""
"M1";"";"";"mini 1 måned";0,00;59,00;0,00;"";"";"0";1;0,00;0,00;""
"M3";"";"";"mini 3 måneder";0,00;177,00;0,00;"";"";"0";1;0,00;0,00;""
"P1";"";"";"proff 1 måned";0,00;349,00;0,00;"";"";"0";1;0,00;0,00;""
"P3";"";"";"proff 3 måneder";0,00;1.047,00;0,00;"";"";"0";1;0,00;0,00;""
"SKADE";"";"";"Reperation af skade ihht taksatorrapport xxxxxxxxx";0,00;0,00;;"";"stk";"0";2;2,00;2,00;""
"TEST3";"";"";"Enfield black bar end finishers";0,00;367,00;;"";"1";"0";1;2,00;2,00;""
"TEST4";"";"";"Enfield bar end mirror mounts";0,00;142,00;;"";"1";"0";1;2,00;2,00;""
"TEST5";"";"";"Enfield black bar end mirrors";0,00;1.567,00;;"";"1";"0";1;2,00;2,00;""
